transaction_id,customer_id,customer_name,email,transaction_date,product_category,quantity,unit_price,discount_pct,payment_method,country,shipping_weight,rating,is_returned,notes
5061,1029,Mariam Malik,mariam.malik@gmail.com,05-07-2024,Book,3,"$3,814.88",8.0,Bank Transfer,USA,2.12,5.0,No,Delivered on time
5232,1135,Sana Raza,sana.razagmail.com,,Appearal,7,1789.68,34.0,wallet,Germany,1.0,5.0,No,N/A
5294,1158,Sara Iqbal,sara.iqbal@gmail.com,05/01/2025,home & kitchen,6,1276.56,2.8,COD,UAE,1.39,1.0,No,Customer requested gift wrap
5733,1046,Nida Aslam,nida.aslam@gmail.com,10 Jul 2024,Home and Kitchen,4,3266.37,23.5,Debit Card,Pakistan,10.23 lbs,3.0,No,Delivered on time
5375,1003,Nida Aslam,nida.aslamgmail.com,2025-03-14,Appearal,6,953.32,6.8,e-wallet,USA,0.87,4.0,Y,  
5423,1153,Mariam Malik,mariam.malik@gmail.com,13 Feb 2025,toys,4,3762.69,23.8,Wallet,UAE,0.9,1.0,No,VIP customer - priority
,,,,,,,,,,,,,,
5146,1072,Ahmed Chaudhry,ahmed.chaudhry@gmail.com,02 Apr 2024,Sport,7,?,39.2,Bank Transfer,UAE,7.1 lbs,1.0,Yes,Customer requested gift wrap
5308,1011,Mariam Butt,mariam.butt@gmail.com,09 Aug 2025,Appearal,5,2625.39,31.7,e-wallet,Germany,3.49,1.0,Y,Reâ€™quested refund
5728,1170,Sara Javed,sara.javed@gmail.com,04/02/2024,toys,2,"$5,102.32",13.4,COD,UAE,1.61,5.0,No,N/A
5216,1107,Kamran Chaudhry,kamran.chaudhry@gmail.com,2024-03-07,Beauty,5,"$3,350.85",8.5,Credit Card,Pakistan,1.88,1.0,No,
5060,1105,Ahmed Farooq,ahmed.farooq@gmail.com,07-29-2025,Toys,7,unknown,38.1,e-wallet,USA,6.63,5.0,No,Delivered on time
5840,1045,Kamran Aslam,kamran.aslam@gmail.com,04-02-2024,Apparel,7,1444.67,51.6,CREDIT_CARD,Saudi Arabia,2.14 lbs,5.0,Yes,Customer requested gift wrap
5409,1160,Nimra Farooq,nimra.farooq@gmail.com,30 Nov 2024,Groceries,6,3438.38,31.5,Cash On Delivery,Saudi Arabia,1.63,5.0,No,
5441,1021,Usman Farooq,usman.farooq@gmail.com,28/07/2025,Electronic,7,3135.46,31.6,credit card,Pakistan,1.77,1.0,No,  
5013,1102,Hassan Iqbal,hassan.iqbal@gmail.com,31/07/2025,Book,4,2475.49,46.6,cod,UAE,0.32,3.0,no,VIP customer - priority
5263,1059,Ayesha Malik,ayesha.malik@gmail.com,2025-07-22,Books,5,1393.47,49.2,Cash On Delivery,UAE,14.53 lbs,4.0,No,
5835,1391,Unknown1391,unknown1391@gmail.com,15 Aug 2025,Book,6,PKR 916,52.1,CC,USA,1.61,4.0,No,Delivered on time
5034,1127,Usman Butt,usman.butt@gmail.com,10-30-2024,Electronics ,6,"$2,280.83",25.4,CREDIT_CARD,UK,2.29,,N,Packaging damaged  
5565,1140,Bilal Khan,bilal.khan@mail,19 May 2024,Clothing,3,2485.61,35.7,Bank_Transfer,UAE,2.14,2.0,No,Reâ€™quested refund
5802,1068,Kamran Butt,kamran.buttgmail.com,2024-10-22,Book,1,1746.64,54.5,Bank_Transfer,UAE,2.56,2.0,No,  
5334,1186,Zara Iqbal,zara.iqbal@gmail.com,31 Jan 2025,books,7,5052.27,16.0,bank transfer,UK,1.07,2.0,No,Customer requested gift wrap
5422,1039,Zara Sheikh,zara.sheikhgmail.com,10-25-2024,Toys,1,"$4,492.85",43.6,Bank_Transfer,UK,4.19 lbs,3.0,no,N/A
5683,1034,Nimra Butt,nimra.butt@gmail.com,2024-10-12,Toy,7,1517.27,50.7,Cash On Delivery,UAE,1.93,4.0,no,Customer requested gift wrap
5755,1069,Sana Khan,sana.khangmail.com,10-27-2024,Grocery,5,4493.37,16.6,Wallet,Saudi Arabia,0.56,4.0,no,Reâ€™quested refund
5532,1025,Imran Farooq,imran.farooq@gmail.com,2025-02-09,electronics,5,"$4,429.83",28.4,e-wallet,UAE,0.98,3.0,No,N/A
5491,1199,Ayesha Malik,ayesha.malik@gmail.com,10-01-2024,Sports,1,4783.69,59.9,DC,UK,6.01,8.0,no,Delivered on time
5813,1157,Hina Sheikh,hina.sheikh@gmail.com,2024-12-07,BEAUTY,4,1506.88,0.3,CC,Germany,0.99 lbs,1.0,no,Reâ€™quested refund
5788,1056,Ahmed Farooq,ahmed.farooq@gmail.com,10/04/2025,Clothing,6,1454.41,1.9,Cash On Delivery,Germany,0.44 lbs,2.0,no,
5643,1105,Ahmed Farooq,ahmed.farooq@gmail.com,2024-05-26,Book,1,"$1,289.96",0.2,e-wallet,USA,1.99,2.0,No,VIP customer - priority
5526,1200,Ahmed Butt,ahmed.butt@gmail.com,2024-11-17,Sport,4,"$1,308.09",58.3,Wallet,UAE,3.97 lbs,,No,
5148,1188,Adeel Khan,adeel.khan@gmail.com,06-23-2024,beauty,2,"$1,317.62",41.0,wallet,Saudi Arabia,1.71,3.0,No,  
5408,1070,Zara Chaudhry,zara.chaudhry@gmail.com,16 Jul 2024,Grocery,4,2444.38,38.2,e-wallet,UK,1.98,3.0,No,Customer requested gift wrap
5365,1007,Alina Farooq,alina.farooq@gmail.com,21 May 2025,Electronics ,2,1296.45,54.5,credit card,UK,1.38,,No,VIP customer - priority
5556,1158,Sara Iqbal,sara.iqbal@gmail.com,18 Aug 2025,Toy,2,"$4,894.01",22.6,Bank Transfer,Pakistan,2.37,1.0,No,N/A
5120,1197,Omar Raza,omar.raza@gmail.com,2024-02-27,Electronic,2,1264.15,59.1,CREDIT_CARD,Germany,7.65 lbs,4.0,No,  
5098,1124,Kamran Chaudhry,kamran.chaudhry@gmail.com,,Home & Kitchen,2,2021.73,47.9,bank transfer,Saudi Arabia,2.82,4.0,Yes,
5242,1028,Hassan Khan,hassan.khangmail.com,2024-11-10,Beauty,1,"$2,107.19",2.0,Credit Card,USA,0.47,1.0,Yes,Customer requested gift wrap
5403,1079,Hina Raza,hina.raza@gmail.com,02-23-2025,Sports,1,"PKR 4,090",39.9,COD,Pakistan,6.02,1.0,No,Packaging damaged  
5251,1012,Usman Javed,usman.javed@gmail.com,2024-12-02,toys,2,2106.67,54.5,Cash on Delivery,UAE,3.87,5.0,No,
5159,1065,Fahad Iqbal,fahad.iqbal@gmail.com,30/01/2025,Appearal,5,1215.14,54.9,Cash On Delivery,UK,3.9,5.0,No,
5572,1120,Zara Iqbal,zara.iqbal@gmail.com,,Book,6,$644.80,1.4,Bank_Transfer,UAE,2.79,5.0,yes,N/A
5652,1063,Adeel Raza,adeel.raza@gmail.com,,BEAUTY,2,1827.46,59.2,wallet,Pakistan,2.66,3.0,no,Packaging damaged  
5237,1131,Kamran Malik,kamran.malikgmail.com,2024-04-04,sports,2,-,29.9,Bank Transfer,USA,1.45,2.0,,
5625,1125,Kamran Khan,kamran.khan@gmail.com,07 Jul 2024,Grocery,4,2132.54,27.1,debit card,UK,2.0,5.0,No,Reâ€™quested refund
5701,1195,Adeel Malik,adeel.malik@gmail.com,25/01/2027,Sports,7,$326.19,7.5,e-wallet,UK,5.01,2.0,yes,Delivered on time
5596,1185,Ayesha Farooq,ayesha.farooq@gmail.com,12-30-2024,Home and Kitchen,1,1723.28,48.1,wallet,Pakistan,1.34,2.0,No,VIP customer - priority
5573,1119,Imran Chaudhry,imran.chaudhry@gmail.com,2024-07-06,Home and Kitchen,4,5774.72,17.7,bank transfer,Pakistan,1.0,1.0,no,Packaging damaged  
5437,1004,Bilal Iqbal,bilal.iqbal@gmail.com,,Beauty,4,5122.62,2.1,Wallet,Saudi Arabia,2.18,4.0,no,
5140,1056,Ahmed Farooq,ahmed.farooq@gmail.com,2024-07-29,Books,2,1919.02,12.2,Cash on Delivery,Germany,2.62,5.0,No,N/A
5478,1062,Imran Chaudhry,imran.chaudhry@gmail.com,08-21-2024,groceries,7,1638.98,4.8,Cash On Delivery,Germany,0.31 lbs,4.0,No,N/A
5657,1112,Alina Sheikh,alina.sheikhgmail.com,2025-02-24,Electronic,1,3936.82,58.8,COD,UK,2.76,2.0,No,VIP customer - priority
5611,1142,Imran Chaudhry,imran.chaudhry@gmail.com,2024-07-10,sports,7,1132.41,0.6,bank transfer,Germany,2.79,4.0,No,VIP customer - priority
5775,1109,Bilal Khan,bilal.khan@gmail.com,10/07/2024,Groceries,-3,3133.66,247.1,Bank Transfer,UAE,0.92,5.0,Y,VIP customer - priority
5048,1183,Hina Raza,hina.raza@gmail.com,02 Jun 2025,Toys,5,"$4,240.98",56.7,Cash On Delivery,Saudi Arabia,1.69,1.0,yes,VIP customer - priority
5110,1002,Imran Chaudhry,imran.chaudhry@gmail.com,18/12/2024,Sports,3,9146.13,40.0,CREDIT_CARD,UAE,1.68 lbs,5.0,No,Reâ€™quested refund
5381,1035,Bilal Chaudhry,bilal.chaudhry@gmail.com,2024-06-30,Books,4,1274.18,42.6,wallet,Saudi Arabia,0.28,4.0,No,  
5244,1153,Mariam Malik,mariam.malik@gmail.com,2024-08-06,Sport,4,"$1,488.59",0.3,Cash on Delivery,UAE,3.02,5.0,No,  
5686,1042,Usman Aslam,usman.aslam@gmail.com,2024-11-02,Electronics,5,2492.87,57.3,e-wallet,Germany,0.08,1.0,No,Delivered on time
5696,1028,Hassan Khan,hassan.khan@mail,29/01/2025,Grocery,-1,2444.08,27.1,Cash on Delivery,UK,3.04,4.0,Yes,Customer requested gift wrap
5662,1063,Adeel Raza,adeel.raza@gmail.com,14/04/2024,electronics,1,3028.06,58.3,Wallet,USA,4.58,1.0,no,Reâ€™quested refund
5618,1036,Kamran Malik,kamran.malik@gmail.com,09-16-2024,Electronic,1,1598.99,53.5,Bank_Transfer,USA,4.4,1.0,no,  
5817,1086,Hina Khan,hina.khan@gmail.com,03 Jan 2024,Books,2,4458.45,39.4,DC,Saudi Arabia,2.35,5.0,No,
5499,1057,Fahad Chaudhry,fahad.chaudhry@gmail.com,23/01/2024,Home and Kitchen,2,2023.54,38.0,CREDIT_CARD,Saudi Arabia,3.53 lbs,3.0,Yes,N/A
5713,1312,Unknown1312,unknown1312@gmail.com,,Clothing,4,2257.76,42.4,Debit Card,Germany,1.86,1.0,No,Customer requested gift wrap
5026,1149,Iqra Chaudhry,iqra.chaudhry@gmail.com,2024-03-07,sports,2,1751.44,24.3,cod,UK,1.18,4.0,No,Delivered on time
5513,1132,Ahmed Javed,ahmed.javed@gmail.com,07-04-2024,sports,5,4181.35,33.1,debit card,Saudi Arabia,0.93,,No,
5552,1041,Nimra Chaudhry,nimra.chaudhry@gmail.com,02-02-2024,Electronic,2,"$1,778.78",8.8,bank transfer,Saudi Arabia,5.58,1.0,yes,Delivered on time
5289,1132,Ahmed Javed,ahmed.javed@gmail.com,07-27-2025,books,3,2259.2,0.3,credit card,UK,5.11 lbs,2.0,no,VIP customer - priority
5097,1063,Adeel Raza,adeel.raza@gmail.com,06-24-2025,Toys,4,4610.77,55.9,Debit Card,UK,0.3,3.0,No,Reâ€™quested refund
5673,1018,Adeel Khan,adeel.khan@gmail.com,18/07/2025,Electronics ,2,365.36,12.0,cod,Saudi Arabia,1.25,2.0,No,Packaging damaged  
5485,1150,Ahmed Khan,ahmed.khan@gmail.com,05 Jan 2025,Appearal,3,"$3,715.41",0.2,Cash On Delivery,UK,1.13,3.0,No,VIP customer - priority
5353,1136,Ahmed Khan,ahmed.khan@gmail.com,15/02/2024,sports,7,2123.79,45.8,Bank_Transfer,USA,5.47 lbs,2.0,No,Reâ€™quested refund
5285,1168,Hassan Aslam,hassan.aslam@gmail.com,05-20-2024,electronics,1,1882.32,2.7,wallet,UK,3.54,1.0,no,
5515,1070,Zara Chaudhry,zara.chaudhry@gmail.com,,Apparel,2,4113.67,30.3,Cash On Delivery,UK,1.4,4.0,No,Reâ€™quested refund
5153,1086,Hina Khan,hina.khan@gmail.com,2025-08-16,Toy,2,2726.36,16.4,Credit Card,UK,2.69,5.0,Yes,Reâ€™quested refund
5645,1150,Ahmed Khan,ahmed.khan@gmail.com,16 Mar 2024,ELECTRONICS,2,2681.77,9.6,Cash on Delivery,Pakistan,-2.21,1.0,Y,  
5716,1191,Ayesha Javed,ayesha.javed@gmail.com,2024-07-17,Book,3,2940.65,55.8,Cash On Delivery,UK,0.51,5.0,Yes,
5305,1182,Sara Aslam,sara.aslam@gmail.com,14 Feb 2025,Home&Kitchen,1,N/A,15.5,Wallet,Pakistan,1.03,5.0,no,Packaging damaged  
5459,1101,Omar Javed,omar.javedgmail.com,30/05/2024,home & kitchen,4,2522.65,3.0,Bank Transfer,UAE,7.1,1.0,No,  
5222,1184,Hassan Butt,hassan.butt@gmail.com,22 Jun 2025,sports,3,1567.53,42.5,bank transfer,Germany,3.23,1.0,Yes,Reâ€™quested refund
5844,1124,Kamran Chaudhry,kamran.chaudhry@gmail.com,2024-12-08,Toy,5,unknown,47.2,cod,UK,2.87,3.0,Yes,N/A
5510,1063,Adeel Raza,adeel.raza@gmail.com,2025-03-30,toys,6,2125.15,14.8,Credit Card,USA,3.07,2.0,No,VIP customer - priority
5125,1310,Unknown1310,unknown1310@gmail.com,18/01/2025,electronics,6,"$2,053.97",43.2,Credit Card,Pakistan,3.99,1.0,No,N/A
5841,1013,Kamran Iqbal,kamran.iqbal@gmail.com,12/01/2024,Sport,7,4396.57,3.2,credit card,UAE,2.95,5.0,no,Customer requested gift wrap
5624,1045,Kamran Aslam,,10-05-2024,Book,4,1477.53,19.6,bank transfer,UK,4.37 lbs,3.0,No,  
5663,1169,Waqas Butt,waqas.butt@gmail.com,02 May 2024,BEAUTY,1,621.35,-16.2,Debit Card,Germany,1.85,8.0,No,Reâ€™quested refund
5390,1189,Alina Farooq,alina.farooq@gmail.com,20 Feb 2025,Sport,2,"$2,309.36",110.7,debit card,USA,1.28,1.0,No,Packaging damaged  
5164,1136,Ahmed Khan,ahmed.khan@gmail.com,2024-07-19,Appearal,-3,1759.97,15.3,Cash on Delivery,Saudi Arabia,11.02 lbs,3.0,No,Reâ€™quested refund
5451,1184,Hassan Butt,hassan.butt@gmail.com,16/07/2024,Books,2,1525.81,20.7,Debit Card,Saudi Arabia,1.78,5.0,Yes,Packaging damaged  
5655,1315,Unknown1315,unknown1315@gmail.com,,BEAUTY,5,563.93,29.8,Wallet,Pakistan,1.18,2.0,No,Customer requested gift wrap
5547,1064,Bilal Farooq,bilal.farooq@gmail.com,25 Jan 2024,Groceries,2,"$4,011.13",50.9,Bank_Transfer,USA,8.48,4.0,No,Packaging damaged  
5171,1169,Waqas Butt,waqas.butt@gmail.com,30 Apr 2024,Sports,4,1967.48,45.4,Bank_Transfer,Saudi Arabia,2.51 lbs,4.0,no,N/A
5569,1072,Ahmed Chaudhry,ahmed.chaudhry@gmail.com,30/07/2025,sports,1,630.37,10.3,Bank_Transfer,UK,3.77,2.0,no,VIP customer - priority
5702,1193,Ayesha Malik,ayesha.malik@gmail.com,25/03/2024,Toy,5,1550.98,1.0,COD,Germany,3.25,3.0,No,  
5610,1156,Imran Iqbal,imran.iqbal@mail,16/03/2024,Home&Kitchen,2,409.29,36.9,Cash On Delivery,UK,0.38,2.0,Yes,N/A
,,,,,,,,,,,,,,
5603,1173,Nimra Sheikh,nimra.sheikh@gmail.com,29 Sep 2024,books,6,3189.25,52.3,Bank Transfer,Pakistan,1.33,5.0,N,
5134,1164,Sara Khan,sara.khan@gmail.com,,apparel,7,2143.79,40.9,Cash On Delivery,UK,3.5,5.0,No,  
5414,1105,Ahmed Farooq,ahmed.farooq@gmail.com,2025-08-15,books,5,"$1,670.35",34.8,debit card,Saudi Arabia,3.16,7.0,No,Customer requested gift wrap
5228,1013,Kamran Iqbal,kamran.iqbal@mail,30/01/2024,Groceries,6,2268.56,58.1,Debit Card,USA,4.08 lbs,5.0,No,N/A
5278,1067,Bilal Raza,bilal.raza@gmail.com,24/05/2024,Sport,5,4858.81,33.8,credit card,USA,6.18,4.0,No,VIP customer - priority
5570,1114,Iqra Raza,iqra.raza@gmail.com,02-13-2024,groceries,7,2551.93,20.0,bank transfer,Saudi Arabia,1.26,4.0,Yes,Reâ€™quested refund
5578,1115,Mariam Malik,mariam.malik@gmail.com,,Beauty,3,"$4,474.57",11.3,CREDIT_CARD,UK,2.76,3.0,Yes,
5326,1160,Nimra Farooq,nimra.farooq@gmail.com,2024-11-19,Groceries,1,952.94,7.6,Cash On Delivery,Saudi Arabia,5.8,5.0,no,Customer requested gift wrap
5336,1065,Fahad Iqbal,,2024-11-22,Electronics,2,N/A,56.3,DC,UK,4.63,1.0,No,Delivered on time
5015,1090,Nimra Raza,nimra.raza@mail,,Beauty,7,2983.57,24.5,debit card,Pakistan,0.61,1.0,Yes,Packaging damaged  
5630,1066,Fahad Raza,fahad.raza@gmail.com,2024-12-12,Toys,3,"PKR 1,938",0.9,Bank Transfer,Pakistan,1.81,4.0,N,Customer requested gift wrap
5397,1149,IQRA CHAUDHRY,iqra.chaudhrygmail.com,2025-01-29,BEAUTY,2,1635.01,31.0,Credit Card,Pakistan,2.01,2.0,No,Delivered on time
5695,1095,Sara Butt,sara.butt@gmail.com,,books,5,"PKR 3,486",32.0,CC,UK,0.34,2.0,yes,Customer requested gift wrap
5746,1149,Iqra Chaudhry,iqra.chaudhry@gmail.com,16/10/2024,Sport,5,1781.0,37.8,bank transfer,Germany,1.99,2.0,No,Reâ€™quested refund
5299,1199,Ayesha Malik,ayesha.malik@gmail.com,05 Mar 2025,Grocery,6,2003.82,55.0,Bank_Transfer,UK,9.5 lbs,4.0,No,Packaging damaged  
5600,1053,Kamran Farooq,kamran.farooq@gmail.com,11-25-2024,sports,-4,4253.96,42.7,e-wallet,Germany,1.6,3.0,No,
5407,1005,Sara Khan,sara.khan@gmail.com,2024-02-08,Electronics,7,2350.1,18.7,credit card,Germany,1.71,5.0,Yes,Reâ€™quested refund
5623,1160,Nimra Farooq,nimra.farooqgmail.com,29/05/2024,Home and Kitchen,7,1414.25,6.5,Credit Card,UAE,1.44,5.0,No,Delivered on time
5551,1088,Imran Chaudhry,imran.chaudhry@gmail.com,,Sport,7,2720.14,24.2,credit card,UK,4.34 lbs,3.0,No,Packaging damaged  
5669,1093,Hassan Chaudhry,hassan.chaudhry@gmail.com,2025-05-08,Sports,4,1569.73,16.8,wallet,UAE,3.17,,No,Packaging damaged  
5138,1066,Fahad Raza,fahad.raza@gmail.com,2027-06-04,Apparel,6,2634.16,56.1,Cash On Delivery,Germany,0.89,1.0,No,N/A
5054,1060,Sara Malik,sara.malik@gmail.com,15 May 2025,Books,1,1413.22,8.4,e-wallet,Saudi Arabia,0.87,5.0,no,
5253,1116,Hassan Aslam,hassan.aslam@gmail.com,,beauty,4,1006.68,52.4,CC,Saudi Arabia,6.01,3.0,no,
5684,1077,Nimra Sheikh,nimra.sheikh@gmail.com,16/08/2027,Electronic,3,2038.96,41.3,e-wallet,UAE,2.45 lbs,8.0,No,Customer requested gift wrap
5357,1147,Waqas Butt,waqas.butt@gmail.com,25/11/2024,Groceries,3,2156.68,33.3,Debit Card,Saudi Arabia,5.05,1.0,No,Delivered on time
5594,1123,Sana Khan,sana.khan@gmail.com,30/04/2024,Electronic,5,"PKR 2,698",-11.9,bank transfer,Germany,3.05,2.0,No,Packaging damaged  
5022,1032,Omar Javed,omar.javed@gmail.com,2024-03-30,Home&Kitchen,2,1007.68,59.0,Bank_Transfer,Pakistan,1.23,3.0,No,Reâ€™quested refund
5797,1144,USMAN RAZA,usman.raza@gmail.com,2024-05-05,Grocery,2,3414.98,37.7,e-wallet,Saudi Arabia,1.88,4.0,No,Delivered on time
5361,1157,HINA SHEIKH,hina.sheikh@gmail.com,,BEAUTY,4,N/A,28.2,DC,Germany,2.09,3.0,N,Updated note
5351,1146,Iqra Sheikh,iqra.sheikh@mail,12-30-2024,Toy,3,2409.96,1.9,e-wallet,Saudi Arabia,10.36 lbs,3.0,No,
5205,1022,Alina Butt,alina.butt@gmail.com,2025-08-13,Grocery,3,2723.35,1.2,COD,UK,0.84,1.0,No,N/A
5209,1122,Bilal Iqbal,bilal.iqbal@gmail.com,2024-12-16,Sport,7,1111.86,43.6,DC,Saudi Arabia,1.91,2.0,No,Packaging damaged  
5727,1105,Ahmed Farooq,ahmed.farooq@gmail.com,2024-01-23,home & kitchen,7,3599.54,30.2,Bank Transfer,Germany,2.22,,Yes,Packaging damaged  
5264,1062,Imran Chaudhry,imran.chaudhry@gmail.com,,Toy,3,"PKR 1,809",9.6,Bank_Transfer,Saudi Arabia,11.24 lbs,4.0,Yes,
5431,1079,Hina Raza,hina.raza@gmail.com,2025-01-19,Beauty,1,2715.39,58.3,DC,UAE,1.34,1.0,Yes,N/A
5453,1179,Usman Aslam,usman.aslam@gmail.com,2024-06-21,Sport,2,4286.22,25.5,Bank Transfer,Germany,0.7,4.0,N,Customer requested gift wrap
5142,1361,Unknown1361,unknown1361@gmail.com,02-22-2024,Home and Kitchen,2,?,53.0,Wallet,USA,1.1,2.0,yes,  
5050,1157,Hina Sheikh,hina.sheikh@gmail.com,2025-02-01,Home&Kitchen,4,3654.82,44.2,wallet,Germany,0.32,2.0,Yes,Customer requested gift wrap
5692,1088,Imran Chaudhry,imran.chaudhry@gmail.com,,Groceries,5,1834.83,55.2,Bank_Transfer,USA,3.29,5.0,Yes,Packaging damaged  
5557,1109,Bilal Khan,bilal.khan@gmail.com,08-10-2024,Electronics ,2,1514.11,47.0,Bank_Transfer,Saudi Arabia,2.45,5.0,no,N/A
5542,1038,Imran Chaudhry,imran.chaudhry@gmail.com,04/02/2025,Appearal,7,3030.16,10.8,wallet,Pakistan,4.13,4.0,No,N/A
5767,1046,Nida Aslam,nida.aslam@gmail.com,04/06/2024,beauty,218,997.23,3.8,Debit Card,UAE,2.97,1.0,Yes,N/A
5081,1171,Sana Sheikh,sana.sheikh@gmail.com,07-16-2024,Clothing,4,1133.51,37.6,DC,Germany,1.74,2.0,Yes,  
5571,1188,Adeel Khan,adeel.khan@gmail.com,08/01/2024,groceries,1,1269.17,40.0,e-wallet,UK,4.59,3.0,No,  
5602,1009,Mariam Malik,mariam.malik@gmail.com,2024-06-04,Electronics ,3,2146.7,172.4,Bank_Transfer,UAE,9.72,1.0,No,Customer requested gift wrap
5582,1060,Sara Malik,sara.malik@gmail.com,31 May 2024,BEAUTY,6,2384.61,9.3,cod,UAE,1.0,2.0,No,  
